image_id,image_path,species_name,venom_type,symptoms,reaction_stage,severity_level,first_aid,label_id,hospital_importance
img_001,C:\Users\Purva\snakebite_project\data\images\andaman_cat_snakebite\Andaman-cat-snake-bite1.png,Boiga andamanensis,mildly venomous,Mildly venomous (rear-fanged),"Mild swelling, redness ",Mild,"Wash wound, keep calm, monitor",1,Visit hospital if swelling spreads
img_002,C:\Users\Purva\snakebite_project\data\images\Anoconda_bite\Anoconda_bite.png,Eunectes murinus,non-venomous,Constrictor.,"Deep puncture, bruising",Mild,"Clean wound, stop bleeding",2,Optional unless deep bite
img_003,C:\Users\Purva\snakebite_project\data\images\asian_cobra_bite\asian-cobra-bite1.png,Naja naja,neurotoxins and cytotoxins,"Local pain, swelling, drooping eyelids, blurred vision, difficulty speaking/swallowing/breathing, paralysis, respiratory failure if untreated.","Paralysis, drooping eyelids",Severe,"Keep still, avoid pressure, no tourniquet",3,🚨 Immediate hospital (antivenom critical)
img_004,C:\Users\Purva\snakebite_project\data\images\Ball_python_bite\Ball-python-bite1.png,python regius,non-venomous,"Bite causes puncture wounds, minor bleeding, local swelling. Large individuals can constrict, causing bruises or suffocation risk if around neck/chest.",puncture marks only,Mild,"Wash wound, apply antiseptic",4,Optional
img_005,C:\Users\Purva\snakebite_project\data\images\canebrake's_bite\Canebrake's-bite.png,crotalus horridus,"neurotoxic, hemorrhagic venom","Pain, swelling, bruising, weakness, confusion, bleeding gums, tissue death.","Pain, swelling, bleeding",Severe,"Keep limb still, no ice, no cutting",5,🚨 Emergency treatment
img_006,C:\Users\Purva\snakebite_project\data\images\cape_cobra_snakebite\cape-cobra-bite1.png,Naja nivea,neurotoxic venom,"Rapid paralysis, difficulty breathing, blurred vision, drooping eyelids, potentially fatal within hours if untreated.","Paralysis, breathing failure",Fatal,"Keep still, monitor breathing",6,🏥 Immediate emergency care
img_007,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite1.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",7,🚨 Immediate — antivenom & airway support
img_008,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite2.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",8,🚨 Immediate — antivenom & airway support
img_009,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite3.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",9,🚨 Immediate — antivenom & airway support
img_010,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite4.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",10,🚨 Immediate — antivenom & airway support
img_012,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite6.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",12,🚨 Immediate — antivenom & airway support
img_013,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite7.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",13,🚨 Immediate — antivenom & airway support
img_014,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite8.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",14,🚨 Immediate — antivenom & airway support
img_015,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite9.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",15,🚨 Immediate — antivenom & airway support
img_016,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite10.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",16,🚨 Immediate — antivenom & airway support
img_017,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite11.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",17,🚨 Immediate — antivenom & airway support
img_018,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite12.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",18,🚨 Immediate — antivenom & airway support
img_019,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\Cobra-bite13.jpg,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",19,🚨 Immediate — antivenom & airway support
img_020,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bite14.png,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",20,🚨 Immediate — antivenom & airway support
img_021,C:\Users\Purva\snakebite_project\data\images\cobra_snakebite\cobra-bites15.png,Cobra,neurotoxins and cytotoxins,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.","Minimal local pain; early neuro signs (ptosis, slurred speech)",Severe,"Keep patient still, remove constricting items, calm, monitor breathing",21,🚨 Immediate — antivenom & airway support
img_022,C:\Users\Purva\snakebite_project\data\images\copperhead's_snakebite\copperhead's-bite1.png,Agkistrodon contortrix,hemotoxic and cytotoxic,Painful swelling and redness at bite site with mild nausea or dizziness.,"Pain, swelling, nausea",Moderate,"Wash wound, immobilize limb",22,🏥 Should visit hospital
img_023,C:\Users\Purva\snakebite_project\data\images\egyptian_cobra_snakebite\Egyptian-cobra-bite.png,Naja haje,neurotoxins and cytotoxins venom,"Pain, tissue damage or necrosis, paralysis, drowsiness, respiratory failure. Some species (like N. mosambica) cause severe local tissue necrosis.",Little local swelling; progressive paralysis and respiratory difficulty,Severe/ Potentially fatal,"Keep still, maintain airway, no tourniquet",23,🚨 Immediate — urgent antivenom & respiratory support
